City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
15,Atasu,KZ,302.89,scattered clouds,48.6814,71.6433,Dostyk
25,Salamiyah,SY,302.63,few clouds,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
26,Camapua,BR,306.02,clear sky,-19.5314,-54.0439,Comercial Estrela
27,Lazaro Cardenas,MX,301.82,broken clouds,17.9583,-102.2,quinta antigua
40,Jaisalmer,IN,309.88,few clouds,26.9147,70.9181,Hotel Fifu
43,Bucerias,MX,301.47,overcast clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
48,Dillon,US,304.37,clear sky,34.4166,-79.3712,Dillon Express Inn
57,Georgetown,MY,303.09,few clouds,5.4112,100.3354,Cititel Penang
63,Dobrinje,BA,303.56,clear sky,44.0497,18.1194,Pansion Mušinbegović
64,Pine Bluff,US,305.9,clear sky,34.2284,-92.0032,"Holiday Inn Express & Suites Pine Bluff/Pines Mall, an IHG Hotel"
77,Bethel,US,300.98,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
79,Cabo San Lucas,MX,306.82,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
86,Hithadhoo,MV,301.33,broken clouds,-0.6,73.0833,Scoop Guest House
90,Samana,DO,303.13,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
91,Mayo,US,303.35,few clouds,38.8876,-76.5119,Resorts Resource Group International
94,Kavieng,PG,301.11,clear sky,-2.5744,150.7967,Nusa Island Retreat
107,Hithadhoo,MV,301.33,broken clouds,-0.6,73.0833,Scoop Guest House
115,Isla Vista,US,300.56,mist,34.4133,-119.861,Best Western Plus South Coast Inn
120,Reyes,BO,304.95,clear sky,-14.3167,-67.3833,
122,Maturin,VE,303.14,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
129,Kaina,NG,302.33,broken clouds,12.6374,8.5873,
132,Korla,CN,307.21,clear sky,41.7597,86.1469,Gulisitan Hotel
151,Touros,BR,302.86,few clouds,-5.1989,-35.4608,INN NEW HORIZON
159,Georgetown,MY,303.09,few clouds,5.4112,100.3354,Cititel Penang
166,Covington,US,302.86,clear sky,39.0837,-84.5086,Cincinnati Marriott at RiverCenter
169,Kavieng,PG,301.11,clear sky,-2.5744,150.7967,Nusa Island Retreat
170,Butaritari,KI,301.69,clear sky,3.0707,172.7902,Isles Sunset Lodge
171,Ilebo,CD,307.23,few clouds,-4.3167,20.5833,Hôtel BUMAK
174,Porto Novo,BJ,300.41,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
183,Miechow,PL,301.72,broken clouds,50.3565,20.0279,Piwnica
188,Parrita,CR,301.02,overcast clouds,9.5201,-84.3225,Beso del Viento
200,San Patricio,US,305.2,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
203,Raga,SS,300.4,overcast clouds,8.4596,25.678,
205,Mandera,KE,304.49,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
211,Bethel,US,300.98,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
213,Pasir Gudang,MY,301.16,broken clouds,1.4584,103.8805,Swan Garden Hotel
216,San Cristobal,VE,300.25,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
217,Kavieng,PG,301.11,clear sky,-2.5744,150.7967,Nusa Island Retreat
222,Asia,PH,300.66,broken clouds,9.5506,122.5164,Totic’s Little Inn and Restaurant
224,Costa Rica,BR,300.4,clear sky,-23.4167,-54.65,
227,Madhupur,IN,300.45,overcast clouds,24.25,86.65,Hotel Kumar International
247,Orodara,BF,300.07,light rain,10.9492,-4.9342,Bkf Orodara
255,Casablanca,MA,302.27,scattered clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
257,Los Amates,GT,303.7,overcast clouds,15.2667,-89.1,Las Basas
259,Reidsville,US,302.0,few clouds,36.3549,-79.6645,"Holiday Inn Express & Suites Reidsville, an IHG Hotel"
260,Komsomolskiy,UZ,307.55,clear sky,40.4272,71.7189,Ikathouse
268,Boende,CD,302.51,overcast clouds,-0.2167,20.8667,
269,Ponta Do Sol,PT,301.32,clear sky,32.6667,-17.1,Hotel do Campo
274,Hithadhoo,MV,301.33,broken clouds,-0.6,73.0833,Scoop Guest House
276,Maceio,BR,300.84,scattered clouds,-9.6658,-35.7353,Poutur Pousada
283,Jalu,LY,307.79,clear sky,29.0331,21.5482,صاحبة الفخامة
284,Zhanaozen,KZ,306.26,few clouds,43.3,52.8,K.korabay 28A
295,Butaritari,KI,301.69,clear sky,3.0707,172.7902,Isles Sunset Lodge
