City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,2021-07-18 00:42:09,-34.4187,19.2345,285.82,84,6,4.34
1,Akyab,MM,2021-07-18 00:44:51,20.15,92.9,300.87,80,41,1.49
2,Ankazoabo,MG,2021-07-18 00:44:51,-22.2833,44.5167,289.85,64,6,2.29
3,Cam Ranh,VN,2021-07-18 00:44:51,11.9214,109.1591,301.13,74,20,0.51
4,Hermanus,ZA,2021-07-18 00:42:09,-34.4187,19.2345,285.82,84,6,4.34
5,Geraldton,AU,2021-07-18 00:44:52,-28.7667,114.6,285.38,87,0,4.63
6,Bengkulu,ID,2021-07-18 00:42:09,-3.8004,102.2655,298.68,82,78,1.6
7,Puerto Ayora,EC,2021-07-18 00:44:52,-0.7393,-90.3518,295.12,93,94,2.68
8,Tasiilaq,GL,2021-07-18 00:44:52,65.6145,-37.6368,279.24,78,100,2.03
9,Bredasdorp,ZA,2021-07-18 00:44:52,-34.5322,20.0403,285.53,87,7,0.0
10,Kodiak,US,2021-07-18 00:44:53,57.79,-152.4072,291.35,67,11,1.09
11,Kimbe,PG,2021-07-18 00:44:53,-5.5502,150.1429,305.57,55,94,2.54
12,Rikitea,PF,2021-07-18 00:42:15,-23.1203,-134.9692,295.15,73,100,12.03
13,Albany,US,2021-07-18 00:38:30,42.6001,-73.9662,295.52,94,100,1.25
14,Lompoc,US,2021-07-18 00:44:53,34.6391,-120.4579,304.33,72,1,6.69
15,Port Hardy,CA,2021-07-18 00:44:53,50.6996,-127.4199,290.25,67,75,5.66
16,Albany,US,2021-07-18 00:38:30,42.6001,-73.9662,295.52,94,100,1.25
17,Dawei,MM,2021-07-18 00:44:54,14.0833,98.2,298.61,90,100,1.72
18,Gamba,GA,2021-07-18 00:43:31,-2.65,10.0,293.79,89,79,1.52
19,Atuona,PF,2021-07-18 00:44:54,-9.8,-139.0333,298.8,78,8,11.44
20,Hasaki,JP,2021-07-18 00:42:49,35.7333,140.8333,303.31,74,100,3.59
21,Jamestown,US,2021-07-18 00:44:54,42.097,-79.2353,290.54,95,90,2.68
22,Dunedin,NZ,2021-07-18 00:44:55,-45.8742,170.5036,283.04,91,100,3.13
23,Cherskiy,RU,2021-07-18 00:44:55,68.75,161.3,281.93,61,100,6.58
24,New Norfolk,AU,2021-07-18 00:44:55,-42.7826,147.0587,284.66,47,82,2.56
25,Sitka,US,2021-07-18 00:42:45,57.0531,-135.33,290.09,72,75,1.54
26,Son Tay,VN,2021-07-18 00:44:55,21.1378,105.505,302.11,81,100,1.03
27,Kapaa,US,2021-07-18 00:44:56,22.0752,-159.319,302.33,75,20,2.24
28,Gizo,SB,2021-07-18 00:44:56,-8.103,156.8419,301.63,76,100,6.51
29,Hobart,AU,2021-07-18 00:44:56,-42.8794,147.3294,284.85,66,75,1.79
30,Cherskiy,RU,2021-07-18 00:44:55,68.75,161.3,281.93,61,100,6.58
31,Khatanga,RU,2021-07-18 00:44:57,71.9667,102.5,288.32,71,100,1.95
32,Chuy,UY,2021-07-18 00:44:57,-33.6971,-53.4616,279.71,73,3,5.4
33,Dingle,PH,2021-07-18 00:44:57,10.9995,122.6711,301.58,79,100,6.07
34,Busselton,AU,2021-07-18 00:41:57,-33.65,115.3333,286.68,82,100,3.46
35,Chokurdakh,RU,2021-07-18 00:42:34,70.6333,147.9167,279.2,72,100,7.82
36,Marsh Harbour,BS,2021-07-18 00:44:58,26.5412,-77.0636,301.2,70,10,4.81
37,Faya,SA,2021-07-18 00:44:58,18.3851,42.4509,295.21,32,100,2.83
38,Puerto Baquerizo Moreno,EC,2021-07-18 00:42:46,-0.9,-89.6,294.78,90,87,5.34
39,Tasiilaq,GL,2021-07-18 00:44:52,65.6145,-37.6368,279.24,78,100,2.03
40,Durango,MX,2021-07-18 00:44:51,24.8333,-104.8333,295.3,53,93,1.0
41,Port Alfred,ZA,2021-07-18 00:44:58,-33.5906,26.891,286.55,72,0,3.06
42,Darhan,MN,2021-07-18 00:44:59,49.4867,105.9228,295.72,73,88,2.19
43,Arys,KZ,2021-07-18 00:44:59,42.4252,68.795,295.27,24,99,2.08
44,Torbay,CA,2021-07-18 00:44:59,47.6666,-52.7314,291.86,89,75,5.66
45,Salalah,OM,2021-07-18 00:44:59,17.0151,54.0924,298.2,94,90,5.66
46,Trapani,IT,2021-07-18 00:45:00,37.8333,12.6667,297.25,83,20,5.14
47,Arraial Do Cabo,BR,2021-07-18 00:42:44,-22.9661,-42.0278,294.27,88,1,4.2
